Date,Date,Date.9,Date.8,Date.7,Date.6,Date.5,Date.4,Date.3,Date.2,Date.1,Time1,Time2,Time3,Time4,Time5,Time6
2022-10-20,2022-10-20,2022-10-20,2022-10-20,2022-10-20,2022-10-20,2022-10-20,2022-10-20,2022-10-20,2022-10-20,2022-10-20,0.0,0.0,0.0,0.0,0,0
2022-10-21,2022-10-21,2022-10-21,2022-10-21,2022-10-21,2022-10-21,2022-10-21,2022-10-21,2022-10-21,2022-10-21,2022-10-21,0.0,0.0,0.0,0.0,0,0
2022-10-22,2022-10-22,2022-10-22,2022-10-22,2022-10-22,2022-10-22,2022-10-22,2022-10-22,2022-10-22,2022-10-22,2022-10-22,0.0,0.0,0.0,0.0,0,0
2022-10-23,2022-10-23,2022-10-23,2022-10-23,2022-10-23,2022-10-23,2022-10-23,2022-10-23,2022-10-23,2022-10-23,2022-10-23,0.0,0.0,0.0,0.0,0,0
2022-10-24,2022-10-24,2022-10-24,2022-10-24,2022-10-24,2022-10-24,2022-10-24,2022-10-24,2022-10-24,2022-10-24,2022-10-24,0.0,0.0,0.0,0.0,0,0
2022-10-25,2022-10-25,2022-10-25,2022-10-25,2022-10-25,2022-10-25,2022-10-25,2022-10-25,2022-10-25,2022-10-25,2022-10-25,0.0,0.0,0.0,0.0,0,0
2022-10-26,2022-10-26,2022-10-26,2022-10-26,2022-10-26,2022-10-26,2022-10-26,2022-10-26,2022-10-26,2022-10-26,2022-10-26,0.0,0.0,0.0,0.0,0,0
2022-10-27,2022-10-27,2022-10-27,2022-10-27,2022-10-27,2022-10-27,2022-10-27,2022-10-27,2022-10-27,2022-10-27,2022-10-27,0.0,0.0,0.0,0.0,0,0
2022-10-28,2022-10-28,2022-10-28,2022-10-28,2022-10-28,2022-10-28,2022-10-28,2022-10-28,2022-10-28,2022-10-28,2022-10-28,0.0,0.0,0.0,0.0,0,0
2022-10-29,2022-10-29,2022-10-29,2022-10-29,2022-10-29,2022-10-29,2022-10-29,2022-10-29,2022-10-29,2022-10-29,2022-10-29,0.0,0.0,0.0,0.0,0,0
2022-10-30,2022-10-30,2022-10-30,2022-10-30,2022-10-30,2022-10-30,2022-10-30,2022-10-30,2022-10-30,2022-10-30,2022-10-30,0.0,0.0,0.0,0.0,0,0
2022-10-31,2022-10-31,2022-10-31,2022-10-31,2022-10-31,2022-10-31,2022-10-31,2022-10-31,2022-10-31,2022-10-31,2022-10-31,0.0,0.0,0.0,0.0,0,0
